mes_referencia;'Mes de preenchimento dos dados'
nome_unidade; 'Nome da unidade do CREAS'
id_creas; 'Numero que identifica o CREAS'
endereco; 'Endereco onde se localiza o CREAS'
municipio; 'Municipio onde o CREAS esta instalado'
uf; 'Estado onde o CREAS esta instalado'
a1;'A.1. Total de casos (famílias ou indivíduos) em acompanhamento pelo PAEFI'
a2;'A.2. Novos casos (famílias ou indivíduos) inseridos em acompanhamento do PAEFI durante o mês de referência'
b1;'B.1. Famílias beneficiárias do Programa Bolsa Família'
b2;'B.2. Famílias com membros beneficiários do BPC'
b3;'B.3. Famílias com crianças ou adolescentes no PETI'
b4;'B.4. Famílias com crianças ou adolescentes nos Serviços de Acolhimento'
b5;'B.5. Famílias cuja situação de violência/ violação esteja associada ao uso abusivo de substâncias psicoativas'
b6;'B.6. Quantidade de pessoas vitimadas, que ingressaram no PAEFI, durante o mês de referência (apenas para os novos casos) - Total'
b6a;'B.6. Quantidade de pessoas vitimadas, que ingressaram no PAEFI, durante o mês de referência (apenas para os novos casos) - Masculino 0 a 12 anos'
b6b;'B.6. Quantidade de pessoas vitimadas, que ingressaram no PAEFI, durante o mês de referência (apenas para os novos casos) - Masculino 13 a 17 anos'
b6c;'B.6. Quantidade de pessoas vitimadas, que ingressaram no PAEFI, durante o mês de referência (apenas para os novos casos) - Masculino 18 a 59 anos'
b6d;'B.6. Quantidade de pessoas vitimadas, que ingressaram no PAEFI, durante o mês de referência (apenas para os novos casos) - Masculino 60 anos ou mais'
b6e;'B.6. Quantidade de pessoas vitimadas, que ingressaram no PAEFI, durante o mês de referência (apenas para os novos casos) - Feminino 0 a 12 anos'
b6f;'B.6. Quantidade de pessoas vitimadas, que ingressaram no PAEFI, durante o mês de referência (apenas para os novos casos) - Feminino 13 a 17 anos'
b6g;'B.6. Quantidade de pessoas vitimadas, que ingressaram no PAEFI, durante o mês de referência (apenas para os novos casos) - Feminino 18 a 59 anos'
b6h;'B.6. Quantidade de pessoas vitimadas, que ingressaram no PAEFI, durante o mês de referência (apenas para os novos casos) - Feminino 60 anos ou mais'
c1;'C.1. Crianças ou adolescentes vítimas de violência intrafamiliar (física ou psicológica) - Total'
c1a;'C.1. Crianças ou adolescentes vítimas de violência intrafamiliar (física ou psicológica) - Masculino 0 a 12 anos'
c1b;'C.1. Crianças ou adolescentes vítimas de violência intrafamiliar (física ou psicológica) - Masculino 13 a 17 anos'
c1c;'C.1. Crianças ou adolescentes vítimas de violência intrafamiliar (física ou psicológica) - Feminino 0 a 12 anos'
c1d;'C.1. Crianças ou adolescentes vítimas de violência intrafamiliar (física ou psicológica) - Feminino 13 a 17 anos'
c2;'C.2. Crianças ou adolescentes vítimas de abuso sexual - Total'
c2a;'C.2. Crianças ou adolescentes vítimas de abuso sexual - Masculino 0 a 12 anos'
c2b;'C.2. Crianças ou adolescentes vítimas de abuso sexual - Masculino 13 a 17 anos'
c2c;'C.2. Crianças ou adolescentes vítimas de abuso sexual - Feminino 0 a 12 anos'
c2d;'C.2. Crianças ou adolescentes vítimas de abuso sexual - Feminino 13 a 17 anos'
c3;'C.3. Crianças ou adolescentes vítimas de exploração sexual - Total'
c3a;'C.3. Crianças ou adolescentes vítimas de exploração sexual - Masculino 0 a 12 anos'
c3b;'C.3. Crianças ou adolescentes vítimas de exploração sexual - Masculino 13 a 17 anos'
c3c;'C.3. Crianças ou adolescentes vítimas de exploração sexual - Feminino 0 a 12 anos'
c3d;'C.3. Crianças ou adolescentes vítimas de exploração sexual - Feminino 13 a 17 anos'
c4;'C.4. Crianças ou adolescentes vítimas de negligência ou abandono - Total'
c4a;'C.4. Crianças ou adolescentes vítimas de negligência ou abandono - Masculino 0 a 12 anos'
c4b;'C.4. Crianças ou adolescentes vítimas de negligência ou abandono - Masculino 13 a 17 anos'
c4c;'C.4. Crianças ou adolescentes vítimas de negligência ou abandono - Feminino 0 a 12 anos'
c4d;'C.4. Crianças ou adolescentes vítimas de negligência ou abandono - Feminino 13 a 17 anos'
c5;'C.5. Crianças ou adolescentes em situação de trabalho infantil - Total'
c5a;'C.5. Crianças ou adolescentes em situação de trabalho infantil (até 15 anos) - Masculino 0 a 12 anos'
c5b;'C.5. Crianças ou adolescentes em situação de trabalho infantil (até 15 anos) - Masculino 13 a 17 anos'
c5c;'C.5. Crianças ou adolescentes em situação de trabalho infantil (até 15 anos) - Feminino 0 a 12 anos'
c5d;'C.5. Crianças ou adolescentes em situação de trabalho infantil (até 15 anos) - Feminino 13 a 17 anos'
d1;'D.1. Pessoas idosas vítimas de violência intrafamiliar (física, psicológica ou sexual) - Total'
d1a;'D.1. Pessoas idosas vítimas de violência intrafamiliar (física, psicológica ou sexual) - Masculino 60 anos ou mais'
d1b;'D.1. Pessoas idosas vítimas de violência intrafamiliar (física, psicológica ou sexual) - Feminino 60 anos ou mais'
d2;'D.2. Pessoas idosas vítimas de negligência ou abandono - Total'
d2a;'D.2. Pessoas idosas vítimas de negligência ou abandono - Masculino 60 anos ou mais'
d2b;'D.2. Pessoas idosas vítimas de negligência ou abandono - Feminino 60 anos ou mais'
e1;'E.1. Pessoas com deficiência vítimas de violência intrafamiliar (física, psicológica ou sexual) - Total'
e1a;'E.1. Pessoas com deficiência vítimas de violência intrafamiliar (física, psicológica ou sexual) - Masculino 0 a 12 anos'
e1b;'E.1. Pessoas com deficiência vítimas de violência intrafamiliar (física, psicológica ou sexual) - Masculino 13 a 17 anos'
e1c;'E.1. Pessoas com deficiência vítimas de violência intrafamiliar (física, psicológica ou sexual) - Masculino 18 a 59 anos'
e1d;'E.1. Pessoas com deficiência vítimas de violência intrafamiliar (física, psicológica ou sexual) - Masculino 60 anos ou mais'
e1e;'E.1. Pessoas com deficiência vítimas de violência intrafamiliar (física, psicológica ou sexual) - Feminino 0 a 12 anos'
e1f;'E.1. Pessoas com deficiência vítimas de violência intrafamiliar (física, psicológica ou sexual) - Feminino 13 a 17 anos'
e1g;'E.1. Pessoas com deficiência vítimas de violência intrafamiliar (física, psicológica ou sexual) - Feminino 18 a 59 anos'
e1h;'E.1. Pessoas com deficiência vítimas de violência intrafamiliar (física, psicológica ou sexual) - Feminino 60 anos ou mais'
e2;'E.2. Pessoas com deficiência vítimas de negligência ou abandono - Total'
e2a;'E.2. Pessoas com deficiência vítimas de negligência ou abandono - Masculino 0 a 12 anos'
e2b;'E.2. Pessoas com deficiência vítimas de negligência ou abandono - Masculino 13 a 17 anos'
e2c;'E.2. Pessoas com deficiência vítimas de negligência ou abandono - Masculino 18 a 59 anos'
e2d;'E.2. Pessoas com deficiência vítimas de negligência ou abandono - Masculino 60 anos ou mais'
e2e;'E.2. Pessoas com deficiência vítimas de negligência ou abandono - Feminino 0 a 12 anos'
e2f;'E.2. Pessoas com deficiência vítimas de negligência ou abandono - Feminino 13 a 17 anos'
e2g;'E.2. Pessoas com deficiência vítimas de negligência ou abandono - Feminino 18 a 59 anos'
e2h;'E.2. Pessoas com deficiência vítimas de negligência ou abandono - Feminino 60 anos ou mais'
f1;'F.1. Mulheres adultas (18 a 59 anos) vítimas de violência intrafamiliar (física, psicológica ou sexual)'
g1;'G.1. Pessoas vítimas de tráficos de seres humanos - Total'
g1a;'G.1. Pessoas vítimas de tráficos de seres humanos - Masculino 0 a 12 anos'
g1b;'G.1. Pessoas vítimas de tráficos de seres humanos - Masculino 13 a 17 anos'
g1c;'G.1. Pessoas vítimas de tráficos de seres humanos - Masculino 18 a 59 anos'
g1d;'G.1. Pessoas vítimas de tráficos de seres humanos - Masculino 60 anos ou mais'
g1e;'G.1. Pessoas vítimas de tráficos de seres humanos - Feminino 0 a 12 anos'
g1f;'G.1. Pessoas vítimas de tráficos de seres humanos - Feminino 13 a 17 anos'
g1g;'G.1. Pessoas vítimas de tráficos de seres humanos - Feminino 18 a 59 anos'
g1h;'G.1. Pessoas vítimas de tráficos de seres humanos - Feminino 60 anos ou mais'
h1;'H.1. Pessoas vítimas de discriminação por orientação sexual'
i1;'I.1. Pessoas em situação de rua - Total'
i1a;'I.1. Pessoas em situação de rua - Masculino 0 a 12 anos'
