mes_ano;'Mes de preenchimento dos dados'
nome_unidade; 'Nome da unidade do CENTRO POP'
id_unidade; 'Numero que identifica o CENTRO POP'
endereco; 'Endereco onde se localiza o CENTRO POP'
municipio; 'Municipio onde o CENTRO POP esta instalado'
uf; 'Estado onde o CENTRO POP esta instalado'
a1;'A.1 Quantidade e perfil das pessoas em situação de rua atendidas no mês de referência'
a1ma;'A.1 Quantidade e perfil das pessoas em situação de rua atendidas no mês de referência - Masculino - 0 a 12 anos'
a1mb;'A.1 Quantidade e perfil das pessoas em situação de rua atendidas no mês de referência - Masculino - 13 a 17 anos'
a1mc;'A.1 Quantidade e perfil das pessoas em situação de rua atendidas no mês de referência - Masculino - 18 a 39 anos'
a1md;'A.1 Quantidade e perfil das pessoas em situação de rua atendidas no mês de referência - Masculino - 40 a 59 anos'
a1me;'A.1 Quantidade e perfil das pessoas em situação de rua atendidas no mês de referência - Masculino - 60 anos ou mais'
a1fa;'A.1 Quantidade e perfil das pessoas em situação de rua atendidas no mês de referência - Feminino - 0 a 12 anos'
a1fb;'A.1 Quantidade e perfil das pessoas em situação de rua atendidas no mês de referência - Feminino - 13 a 17 anos'
a1fc;'A.1 Quantidade e perfil das pessoas em situação de rua atendidas no mês de referência - Feminino - 18 a 39 anos'
a1fd;'A.1 Quantidade e perfil das pessoas em situação de rua atendidas no mês de referência - Feminino - 40 a 59 anos'
a1fe;'A.1 Quantidade e perfil das pessoas em situação de rua atendidas no mês de referência - Feminino - 60 anos ou mais'
b1;'B.1. Pessoas adultas usuárias de crack ou outras drogas ilícitas'
b2;'B.2. Migrantes'
b3;'B.3. Pessoas com doença ou transtorno mental'
c1;'C.1.Pessoas que foram incluídas no Cadastro ÿnico para Programas Sociais, no mês'
c2;'C.2. Pessoas que realizaram atualização do Cadastro ÿnico para Programas Sociais, no mês'
d1;'D.1. Quantidade total de atendimentos realizados (compreendida como a soma do número de atendimentos realizados a cada dia, durante o mês de referência)'
e1;'E.1. Quantidade de pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência'
e1ma;'E.1. Quantidade de pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Masculino - 0 a 12 anos'
e1mb;'E.1. Quantidade de pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Masculino - 13 a 17 anos'
e1mc;'E.1. Quantidade de pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Masculino - 18 a 59 anos'
e1md;'E.1. Quantidade de pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Masculino - 60 anos ou mais'
e1fa;'E.1. Quantidade de pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Feminino - 0 a 12 anos'
e1fb;'E.1. Quantidade de pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Feminino - 13 a 17 anos'
e1fc;'E.1. Quantidade de pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Feminino - 18 a 59 anos'
e1fd;'E.1. Quantidade de pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Feminino - 60 anos ou mais'
e2;'F.1. Crianças ou adolescentes em situação de trabalho infantil (até 15 anos)'
e3;'F.2. Crianças ou adolescentes em situação de exploração sexual'
e4;'F.3. Crianças ou adolescentes usuárias de crack ou outras drogas'
e5;'F.4. Pessoas adultas usuárias de crack ou outras drogas ilícitas'
e6;'F.5. Migrantes'
f1;'G.1. Quantidade total de abordagens realizadas (compreendida como número de pessoas abordadas, multiplicado pelo número de vezes em que foram abordadas durante o mês)'
coordenador; 'Nome do Coordenador responsavel pelo CENTRO POP'
cpf; 'CPF do Coordenador responsavel pelo CENTRO POP'
ibge;'Codigo que identifica a qual municipio esta vinculado o CENTRO POP'
oferta_serv_blocoii;'Oferta de servicos BLOCO II (POP)'
